cell_type	rank	tf_symbol	differential	mean_signal_here	mean_signal_neighbors	neighbors
Endothelium	7	ZBTB46	0.0081	0.0384	0.0304	Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Endothelium	8	HIC1	0.0080	0.0331	0.0251	Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Endothelium	9	HOXC10	0.0080	0.0287	0.0207	Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Endothelium	10	HOXB4	0.0079	0.0279	0.0199	Brain_capillary_endothelial_cells,Glomerular_endothelial_cells,Endocardial_cells,Liver_sinusoidal_endothelial_cells,Lymphatic_vessel_endothelial_cells
Epithelial_cells	1	OVOL1	0.0317	0.0748	0.0431	Lung_and_airway,Kidney,Mesoderm,Lateral_plate_and_intermediate_mesoderm,Skeletal_muscle_cells
Epithelial_cells	2	OVOL2	0.0226	0.0644	0.0418	Lung_and_airway,Kidney,Mesoderm,Lateral_plate_and_intermediate_mesoderm,Skeletal_muscle_cells
Epithelial_cells	3	FOXN1	0.0208	0.0634	0.0426	Lung_and_airway,Kidney,Mesoderm,Lateral_plate_and_intermediate_mesoderm,Skeletal_muscle_cells
Epithelial_cells	4	ZBTB7B	0.0206	0.0629	0.0424	Lung_and_airway,Kidney,Mesoderm,Lateral_plate_and_intermediate_mesoderm,Skeletal_muscle_cells
Epithelial_cells	5	ZNF683	0.0193	0.0591	0.0398	Lung_and_airway,Kidney,Mesoderm,Lateral_plate_and_intermediate_mesoderm,Skeletal_muscle_cells
Epithelial_cells	6	TET3	0.0177	0.0573	0.0396	Lung_and_airway,Kidney,Mesoderm,Lateral_plate_and_intermediate_mesoderm,Skeletal_muscle_cells
